Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
Mercedes-Benz,9999,van,127000,2.2,Diesel,yes,2005,Vito
Audi,69999,crossover,21000,3,Petrol,yes,2015,A6 Allroad
Mitsubishi,6500,sedan,152000,1.6,Petrol,yes,2007,Lancer
Audi,4300,sedan,267000,1.9,Diesel,no,2003,A6
Audi,3000,sedan,267000,2.5,Diesel,no,1999,A6
Mercedes-Benz,8700,sedan,240000,2.2,Diesel,yes,2000,E-Class
Renault,9000,vagon,178000,2,Petrol,yes,2008,Scenic
Mercedes-Benz,20400,sedan,190000,1.8,Gas,yes,2011,E-Class
BMW,9000,sedan,175000,3,Petrol,no,2006,330
Mercedes-Benz,13400,sedan,105000,1.8,Petrol,yes,2006,E-Class
Volkswagen,3700,sedan,195000,1.9,Diesel,no,2001,Passat B5
Volkswagen,9850,van,126000,2,Diesel,yes,2012,Caddy
Audi,3700,hatch,420000,2,Diesel,no,2004,A3
Toyota,15700,crossover,195000,4,Gas,yes,2003,Land Cruiser Prado
Mercedes-Benz,24500,sedan,180000,2.2,Diesel,yes,2012,E-Class
Mitsubishi,7500,sedan,195000,1.6,Gas,yes,2007,Lancer
Volkswagen,11990,van,231000,2.5,Diesel,yes,2002,Caravelle
Volkswagen,13708.5,hatch,51000,1.4,Petrol,yes,2014,Polo
BMW,8200,sedan,287000,2.5,Gas,yes,1999,525
Renault,6999,van,222000,1.5,Diesel,yes,2009,Kangoo
Renault,6750,vagon,214000,1.5,Diesel,yes,2004,Megane
Audi,18500,sedan,245000,3,Diesel,yes,2006,A8
Toyota,14299,sedan,83000,2,Petrol,yes,2009,Avensis
Mercedes-Benz,28500,crossover,210000,3.2,Diesel,yes,2007,GL 320
Mitsubishi,17000,crossover,89000,3.8,Petrol,yes,2008,Pajero Wagon
Mercedes-Benz,NA,crossover,0,3,Diesel,yes,2016,GL 350
Mercedes-Benz,25700,crossover,130000,4.7,Gas,yes,2008,GL 450
Audi,2650,vagon,333000,2.5,Diesel,no,2000,A6
Mitsubishi,8500,sedan,116000,1.5,Petrol,yes,2008,Lancer X
Mercedes-Benz,4000,sedan,405000,2,Diesel,yes,1992,200
Renault,11000,other,131000,1.5,Diesel,yes,2011,Kangoo
Mercedes-Benz,14500,sedan,138000,2,Petrol,yes,2007,E-Class
BMW,4099,sedan,50000,2.5,Petrol,yes,1988,520
Volkswagen,31500,crossover,1000,2,Petrol,yes,2014,Tiguan
Renault,4500,van,207000,1.5,Diesel,yes,2003,Kangoo
Volkswagen,6700,other,207000,1.9,Diesel,yes,2004,Caddy
Renault,NA,van,85000,1.5,Diesel,yes,2012,Kangoo
Mitsubishi,20800,crossover,31000,2.4,Petrol,yes,2011,Outlander XL
Mercedes-Benz,107999,crossover,0,2.98,Diesel,yes,2016,GLS 350
BMW,3500,sedan,334000,2,Diesel,no,1999,320
Audi,39000,sedan,18000,1.8,Other,yes,2015,A5
Toyota,13500,crossover,150000,4.7,Gas,yes,2002,Land Cruiser 100
Mitsubishi,6150,sedan,175000,1.6,Petrol,yes,2007,Lancer
BMW,45500,crossover,76000,4.4,Petrol,yes,2010,X6 M
BMW,4900,sedan,295000,2,Petrol,yes,1994,520
BMW,47000,other,5000,2,Petrol,yes,2014,Z4
Toyota,19200,crossover,190000,2.7,Gas,yes,2005,Land Cruiser Prado
Renault,NA,vagon,180000,1.5,Diesel,yes,2011,Megane
Mitsubishi,11100,crossover,119000,2.4,Gas,yes,2008,Outlander
Mitsubishi,8200,sedan,139000,1.5,Other,yes,2012,Lancer X
Volkswagen,10300,sedan,235000,2,Petrol,yes,2007,Passat B6
Renault,11990,van,210000,1.1,Diesel,yes,2010,Scenic
Mitsubishi,800,sedan,340000,NA,Other,yes,1986,Galant
BMW,46800,sedan,33000,2,Diesel,yes,2014,520
Volkswagen,1500,other,260000,1.8,Gas,no,1994,Golf III
BMW,6350,crossover,156000,4.4,Gas,no,2002,X5
Mercedes-Benz,NA,sedan,16000,3,Diesel,yes,2014,S 350
Mercedes-Benz,8900,hatch,155000,1.5,Petrol,yes,2005,A 150
Mercedes-Benz,12700,van,160000,3,Diesel,yes,2007,Vito
Mitsubishi,8000,sedan,207000,1.6,Gas,yes,2007,Lancer
Toyota,29500,crossover,63000,4,Petrol,yes,2008,FJ Cruiser
Volkswagen,NA,hatch,100000,2,Petrol,yes,2013,Golf GTI
Renault,7100,van,208000,1.5,Diesel,yes,2008,Kangoo
Renault,10850,crossover,103000,2.5,Gas,yes,2010,Koleos
Volkswagen,NA,van,277000,2.5,Diesel,yes,2001,T4 (Transporter)
Toyota,195000,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
Volkswagen,27000,sedan,57000,2,Diesel,yes,2013,Passat B7
Volkswagen,18100,other,64000,2,Petrol,yes,2011,Scirocco
BMW,27000,sedan,137000,5,Other,yes,2005,M5
BMW,8990,other,300000,2.2,Petrol,yes,2002,320
Toyota,32900,crossover,82000,2.7,Petrol,yes,2013,Venza
BMW,25500,other,163000,4.8,Petrol,yes,2008,X5
Toyota,8900,crossover,153000,2,Petrol,yes,2003,Rav 4
Audi,11950,sedan,190000,3,Petrol,yes,2006,A6
Mercedes-Benz,22700,sedan,125000,2.2,Diesel,yes,2010,E-Class
Audi,600,sedan,112000,1.6,Petrol,yes,1980,80
BMW,13000,sedan,165000,2.2,Gas,yes,2003,520
Audi,25000,other,60000,2,Petrol,yes,2011,A5
Toyota,26900,crossover,119000,4,Gas,yes,2008,Land Cruiser Prado
Mercedes-Benz,87777,van,0,2.2,Diesel,yes,2016,V 250
Volkswagen,6000,van,200000,2,Diesel,yes,2008,Caddy
Audi,9800,vagon,257000,2.5,Diesel,yes,2003,A6
Audi,13900,other,197000,2,Diesel,yes,2006,A6
Renault,12200,van,164000,2.5,Diesel,yes,2009,Trafic
Mercedes-Benz,13500,crossover,205000,2.7,Diesel,yes,2005,ML 270
BMW,18100,crossover,200000,4.8,Petrol,yes,2005,X5
BMW,33000,crossover,200000,3,Diesel,yes,2010,X5
Volkswagen,16900,crossover,145000,1.4,Petrol,yes,2011,Tiguan
Mercedes-Benz,22000,sedan,110000,1.8,Petrol,yes,2011,C-Class
Volkswagen,10700,sedan,195000,3.2,Petrol,yes,2007,Passat B6
Mercedes-Benz,7800,sedan,226000,2.2,Diesel,yes,2000,E-Class
Mercedes-Benz,17300,sedan,184000,1.8,Gas,yes,2008,E-Class
BMW,70000,sedan,16000,3,Diesel,yes,2014,730
Volkswagen,2200,hatch,118000,1.4,Petrol,no,2001,Lupo
BMW,8900,sedan,256000,2.2,Petrol,yes,2002,5 Series
Mercedes-Benz,31600,sedan,33000,1.6,Petrol,yes,2013,CLA 200
Volkswagen,7900,other,168000,1.9,Diesel,yes,2006,T5 (Transporter)
Toyota,28500,crossover,97000,3.5,Petrol,yes,2012,Highlander
Renault,6900,van,140000,1.5,Diesel,yes,2012,Kangoo
BMW,8850,vagon,280000,2.5,Diesel,yes,2000,525
Renault,3100,van,164000,1.4,Petrol,yes,1999,Kangoo
BMW,8900,sedan,250000,2.5,Petrol,yes,2000,525
Renault,6100,sedan,130000,1.4,Petrol,yes,2005,Megane
BMW,1400,sedan,260000,1.8,Petrol,no,1996,318
Volkswagen,8800,van,93000,1.6,Diesel,yes,2012,Caddy
Renault,10299,other,176000,2,Diesel,yes,2013,Trafic
Renault,6500,sedan,170000,1.6,Petrol,yes,2004,Megane
Mercedes-Benz,169000,other,1000,4.7,Petrol,yes,2015,S 500
Toyota,9100,sedan,151000,1.6,Gas,yes,2007,Corolla
Volkswagen,9950,hatch,95000,1.4,Petrol,yes,2010,Polo
Toyota,24500,crossover,260000,4.7,Gas,yes,2003,Land Cruiser 100
Audi,51500,crossover,27000,3,Diesel,yes,2013,Q7
Volkswagen,12900,van,290000,1.9,Diesel,yes,2008,T5 (Transporter)
Mercedes-Benz,8000,van,250000,2.2,Diesel,yes,2006,Vito
Mitsubishi,8100,sedan,112000,2.4,Petrol,yes,2007,Galant
Renault,10100,van,164000,2,Diesel,yes,2012,Trafic
BMW,1900,sedan,300000,2.5,Diesel,no,1997,5 Series
Renault,10800,van,187000,2,Diesel,yes,2012,Trafic
Audi,8000,sedan,234000,4.2,Gas,no,2004,A8
Mercedes-Benz,15300,other,120000,2.6,Petrol,yes,2004,CLK 240
Volkswagen,2350,hatch,182000,1.9,Diesel,no,1998,Golf IV
Volkswagen,23999,sedan,88000,NA,Other,yes,2012,Passat CC
BMW,38888,vagon,5000,0.65,Other,yes,2015,I3
Mitsubishi,7300,hatch,126000,NA,Other,yes,2004,Colt
Toyota,99999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
Volkswagen,17650,sedan,110000,1.8,Petrol,yes,2012,Passat B7
Volkswagen,12999,van,237000,2.5,Diesel,yes,2005,Multivan
Mercedes-Benz,18500,other,90000,1.8,Petrol,yes,2008,C-Class
Volkswagen,9200,sedan,195000,2,Petrol,yes,2006,Passat B6
Volkswagen,14500,sedan,1000,1.6,Other,yes,2016,Polo
Volkswagen,18000,vagon,18000,1.6,Diesel,yes,2011,Passat B7
Mercedes-Benz,6800,van,250000,1.7,Diesel,yes,2003,Vaneo
BMW,20500,crossover,73000,2,Petrol,yes,2011,X1
BMW,28000,other,100000,5,Petrol,yes,2005,M5
Volkswagen,10650,van,130000,2,Diesel,yes,2011,T5 (Transporter) 
Volkswagen,20300,other,30000,1.4,Petrol,yes,2013,Scirocco
Volkswagen,3000,vagon,267000,1.9,Diesel,no,1999,Passat B5
Toyota,25250,crossover,112000,4.5,Gas,yes,2007,Land Cruiser 100
Mitsubishi,1389,hatch,245000,1.3,Petrol,no,1996,Colt
Mercedes-Benz,17600,sedan,174000,4,Diesel,yes,2005,S 400
Mercedes-Benz,14200,van,180000,2.2,Diesel,yes,2007,Vito
BMW,13700,crossover,270000,4.6,Gas,yes,2004,X5
Mercedes-Benz,23900,sedan,187000,5.5,Petrol,yes,2007,S 550
Volkswagen,3700,crossover,267000,NA,Diesel,no,2000,Golf IV
Volkswagen,32000,sedan,144000,3.6,Petrol,yes,2013,Passat CC
BMW,4599,sedan,267000,2,Gas,yes,1991,520
Volkswagen,2350,sedan,300000,1.9,Diesel,no,1998,Passat B5
Audi,19999,vagon,160000,2,Petrol,yes,2010,A4 Allroad
BMW,28900,sedan,78000,2,Petrol,yes,2012,528
Volkswagen,3800,sedan,300000,2.8,Gas,yes,1996,Passat B4
Audi,4649,vagon,350000,NA,Diesel,yes,2000,A6
Volkswagen,1800,other,300000,1.3,Petrol,yes,1989,Golf II
Toyota,135000,crossover,1000,4.5,Diesel,yes,2011,Land Cruiser 200
Volkswagen,9700,sedan,201000,2,Petrol,yes,2007,Passat B6
Mitsubishi,25342.2,other,1000,2.5,Diesel,yes,2016,L 200
Volkswagen,24900,sedan,1000,1.6,Diesel,yes,2016,Jetta
Renault,4999,sedan,140000,1.4,Petrol,yes,2011,Logan
Volkswagen,NA,other,142000,2.5,Diesel,yes,2007,Multivan
BMW,4700,sedan,390000,2.5,Petrol,yes,1991,525
Mercedes-Benz,4999,sedan,1000,2.8,Petrol,yes,1997,E-Class
Mercedes-Benz,9299,sedan,350000,2.7,Diesel,yes,2000,E-Class
Mercedes-Benz,25000,sedan,130000,5.5,Petrol,yes,2007,S 550
Mitsubishi,12900,crossover,148000,3,Gas,yes,2008,Pajero Sport
Audi,9700,vagon,189000,2.5,Diesel,yes,2003,A6
Renault,10100,van,64000,2,Diesel,yes,2014,Trafic
BMW,2800,sedan,296000,3,Diesel,no,2001,730
Mercedes-Benz,13500,van,350000,2.9,Diesel,yes,2000,Sprinter 312
Mitsubishi,8900,hatch,125000,1.8,Petrol,yes,2009,Lancer X Sportback
Mercedes-Benz,109999,crossover,0,3,Diesel,yes,2016,GLS 350
Mercedes-Benz,11500,sedan,180000,3.2,Gas,yes,2004,E-Class
BMW,36900,crossover,82000,3,Petrol,yes,2010,X6
Toyota,33200,crossover,150000,4,Gas,yes,2010,Land Cruiser Prado
Volkswagen,10200,van,253000,2.5,Diesel,yes,2008,T5 (Transporter)
Volkswagen,16999,sedan,0,1.6,Petrol,yes,2016,Jetta
Toyota,10800,sedan,179000,3,Gas,yes,2005,Camry
Mercedes-Benz,35500,other,99000,2.99,Diesel,yes,2011,E-Class
Volkswagen,9900,hatch,156000,1.6,Petrol,yes,2007,Golf Plus
Renault,7900,vagon,91000,1.5,Diesel,yes,2008,Scenic
Mercedes-Benz,13900,sedan,216000,2.2,Diesel,yes,2007,E-Class
Volkswagen,20000,sedan,102000,1.8,Petrol,yes,2011,Passat CC
Toyota,28500,crossover,38000,2.2,Diesel,yes,2015,Rav 4
Mitsubishi,7200,sedan,178000,1.6,Petrol,yes,2007,Lancer
Mitsubishi,9000,crossover,200000,2,Gas,yes,2006,Outlander
Audi,36500,crossover,115000,3,Diesel,yes,2010,Q7
Volkswagen,8000,hatch,41000,1,Petrol,yes,2012,Up
Audi,43000,other,11000,1.8,Petrol,yes,2015,A6
Toyota,13700,sedan,48000,1.4,Diesel,yes,2013,Corolla
Toyota,7899,sedan,165000,1.8,Gas,yes,2006,Avensis
Renault,13999,van,180000,2,Diesel,yes,2012,Trafic
Volkswagen,10500,van,176000,1.6,Diesel,yes,2012,Caddy
Mercedes-Benz,5500,sedan,100000,99.99,Petrol,yes,2007,S 550
Volkswagen,20800,other,160000,2,Diesel,yes,2012,Amarok
Volkswagen,2500,sedan,488000,2,Petrol,yes,1991,Passat B3
Mercedes-Benz,32000,crossover,176000,3.2,Gas,yes,2003,G 320
Mercedes-Benz,14500,sedan,220000,5,Petrol,yes,2004,S 500
Toyota,16900,hatch,20000,1.6,Petrol,yes,2014,Auris
Mercedes-Benz,13600,van,172000,2.2,Diesel,yes,2013,Vito
Audi,2600,vagon,273000,2.5,Diesel,no,1999,A6
Mercedes-Benz,NA,van,0,2.2,Diesel,yes,2016,V 250
BMW,12000,sedan,237000,3,Diesel,yes,2003,530
Volkswagen,NA,sedan,118000,1.6,Gas,yes,2008,Jetta
Volkswagen,18800,vagon,106000,1.6,Diesel,yes,2013,Passat B7
Toyota,35500,crossover,85000,3,Diesel,yes,2012,Land Cruiser Prado
Mercedes-Benz,29900,other,71000,5.5,Petrol,yes,2007,CL 500
Renault,6750,other,110000,1.5,Diesel,yes,2012,Kangoo
Toyota,NA,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
BMW,34900,crossover,117000,3,Petrol,yes,2011,X5
Volkswagen,7700,van,177000,1.9,Diesel,yes,2008,T5 (Transporter) 
Renault,9250,vagon,220000,1.5,Diesel,yes,2010,Megane
Renault,8400,hatch,84000,1.5,Diesel,yes,2011,Kangoo
Toyota,11750,sedan,93000,1.6,Petrol,yes,2013,Corolla
Mercedes-Benz,5800,van,368000,2.2,Diesel,yes,2000,Vito
Toyota,5900,crossover,180000,3,Diesel,no,2003,Land Cruiser Prado
BMW,44999,crossover,87000,3,Diesel,yes,2011,X6
Volkswagen,10500,van,170000,1.6,Diesel,yes,2013,Caddy
Mercedes-Benz,17900,sedan,190000,3,Diesel,yes,2007,E-Class
Audi,9999,sedan,190000,3,Petrol,yes,2007,A6
Audi,9999,sedan,190000,2.5,Diesel,yes,2003,A6
Renault,4900,van,472000,2.5,Diesel,yes,2000,Master
Volkswagen,61000,crossover,2000,3,Diesel,yes,2016,Touareg
Toyota,38300,crossover,130000,5.7,Gas,yes,2009,Land Cruiser 200
Toyota,17700,sedan,30000,1.6,Petrol,yes,2014,Corolla
Toyota,600,sedan,10000,1.5,Petrol,yes,1979,Corolla
Volkswagen,55555,van,50000,2,Diesel,yes,2013,Multivan
BMW,18000,crossover,280000,3,Diesel,yes,2005,X5
Renault,7600,other,125000,1.5,Diesel,yes,2013,Kangoo
Renault,6900,sedan,68000,1.5,Diesel,yes,2013,Logan
Renault,15635.1,vagon,0,1.5,Diesel,yes,2016,Dokker
Renault,10550,van,195000,2,Diesel,yes,2011,Trafic
Volkswagen,12500,van,190000,1.9,Diesel,yes,2008,T5 (Transporter)
Audi,13000,sedan,157000,3,Petrol,yes,2006,A6
BMW,7400,sedan,285000,4.4,Gas,yes,1997,540
Audi,64400,other,41000,NA,Other,yes,2014,A8
Renault,9500,hatch,100000,1.5,Diesel,yes,2009,Megane
Audi,18800,crossover,197000,4.2,Petrol,yes,2007,Q7
Toyota,8000,sedan,176000,3,Petrol,yes,2002,Camry
Volkswagen,8700,vagon,250000,1.9,Diesel,yes,2002,Passat B5
Mercedes-Benz,9999,crossover,300000,3.2,Petrol,yes,1998,ML 320
Volkswagen,16700,sedan,175000,2,Petrol,yes,2011,Passat CC
Toyota,13900,hatch,90000,1.6,Petrol,yes,2012,Auris
Volkswagen,18700,other,145000,2,Diesel,yes,2011,T5 (Transporter) 
Mitsubishi,6200,sedan,152000,1.6,Petrol,yes,2006,Lancer
Mercedes-Benz,NA,van,450000,2.2,Diesel,yes,2000,Vito
Renault,3600,van,22000,1.9,Diesel,yes,2001,Kangoo
Renault,7500,vagon,98000,1.4,Petrol,yes,2007,Kangoo
Renault,2300,van,200000,1.9,Diesel,yes,2002,Kangoo
Volkswagen,16900,crossover,133000,2.5,Diesel,yes,2007,Touareg
Mitsubishi,13499,crossover,116000,2.4,Petrol,yes,2008,Outlander XL
Renault,5700,van,180000,1.5,Diesel,yes,2007,Kangoo
Renault,7250,van,83000,NA,Other,yes,2013,Kangoo
Mitsubishi,17900,crossover,140000,3.8,Gas,yes,2007,Pajero Wagon
Volkswagen,7800,vagon,289000,NA,Diesel,yes,2003,Passat B5
Volkswagen,13900,other,170000,1.9,Diesel,yes,2006,Multivan
Audi,7950,vagon,167000,2.5,Diesel,yes,2000,A6
BMW,9700,sedan,250000,2,Petrol,yes,2003,318
Volkswagen,7500,sedan,240000,1.8,Petrol,yes,2002,Passat B5
Audi,19999,crossover,117000,4.2,Petrol,yes,2007,Q7
BMW,9100,sedan,230000,2,Gas,yes,2004,318
Renault,8100,van,135000,NA,Diesel,yes,2008,Kangoo
Volkswagen,13300,hatch,73000,1.4,Petrol,yes,2011,Golf VI
Volkswagen,21000,hatch,22000,1.2,Other,yes,2014,Golf VII
Audi,6600,sedan,360000,1.8,Petrol,yes,1998,A6
Audi,7600,vagon,226000,3,Diesel,no,2006,A6
Mercedes-Benz,3500,hatch,258000,1.7,Diesel,no,2002,A 170
Volkswagen,3500,sedan,3000,1.8,Petrol,yes,1991,Passat B3
Mercedes-Benz,17900,van,167000,2.2,Diesel,yes,2012,Vito
Renault,1950,vagon,286000,1.9,Diesel,no,2001,Laguna
Volkswagen,7990,sedan,90000,1.4,Petrol,yes,2003,New Beetle
Volkswagen,65000,crossover,24000,NA,Other,yes,2015,Touareg
Volkswagen,6500,sedan,320000,1.9,Diesel,yes,2001,Passat B5
Mitsubishi,3500,sedan,300000,2,Diesel,yes,1996,Galant
Toyota,14100,sedan,113000,2.4,Gas,yes,2009,Camry
Toyota,2999,other,300000,1.6,Petrol,yes,1991,Corolla
BMW,66900,crossover,70000,3,Diesel,yes,2014,X5
Toyota,13100,sedan,200000,3.5,Gas,yes,2006,Camry
Volkswagen,6900,sedan,300000,1.8,Petrol,yes,1998,Passat B5
Volkswagen,23999,sedan,80000,2,Diesel,yes,2014,Passat B7
Mitsubishi,6990,crossover,225000,2.5,Petrol,yes,1997,Pajero
Toyota,13999,sedan,198000,2.4,Gas,yes,2009,Camry
Renault,7600,van,108000,1,Diesel,yes,2013,Kangoo
Renault,11100,vagon,180000,1.5,Diesel,yes,2012,Megane
Mercedes-Benz,16500,other,260000,2.2,Diesel,yes,2011,Sprinter 319
Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016,GLS 63
Mercedes-Benz,44000,other,82000,5.5,Petrol,yes,2010,S 500
Audi,39900,other,12000,1.8,Petrol,yes,2014,A5
Mercedes-Benz,20500,sedan,173000,1.8,Gas,yes,2011,E-Class
BMW,8000,crossover,214000,4.4,Petrol,no,2000,X5
BMW,11600,sedan,142000,2,Petrol,yes,2005,320
Audi,3500,sedan,265000,2,Diesel,yes,1986,100
Renault,11500,vagon,170000,1.5,Diesel,yes,2012,Megane
Volkswagen,13700,other,103000,2,Diesel,yes,2011,Passat B6
Mercedes-Benz,13700,van,198000,3.2,Gas,yes,2006,Viano
Renault,7700,vagon,200000,1.5,Diesel,yes,2007,Megane
Mercedes-Benz,5800,sedan,231000,2.2,Petrol,yes,1994,E-Class
Volkswagen,9500,sedan,95000,2,Petrol,yes,2007,Passat B6
Mercedes-Benz,24900,sedan,140000,5.5,Petrol,yes,2009,S 550
Volkswagen,55500,crossover,47000,3,Diesel,yes,2016,Touareg
Volkswagen,6500,van,186000,2.8,Petrol,yes,2000,Sharan
Mercedes-Benz,8300,sedan,175000,3.2,Diesel,no,2006,E-Class
Mitsubishi,12000,crossover,130000,3,Gas,yes,2007,Pajero Sport
Mercedes-Benz,15000,crossover,185000,3.7,Gas,yes,2005,ML 350
BMW,8100,sedan,246000,3,Diesel,yes,2000,530
Volkswagen,11200,van,178000,NA,Diesel,yes,2008,T5 (Transporter)
Renault,8000,sedan,175000,2,Gas,yes,2005,Megane
Mercedes-Benz,5500,van,285000,2.3,Diesel,yes,1999,Vito
Mercedes-Benz,NA,van,0,2.2,Diesel,yes,2016,V 250
Renault,9600,vagon,184000,1.5,Diesel,yes,2011,Megane
Volkswagen,12500,vagon,96000,NA,Petrol,yes,2010,Golf VI
BMW,10800,sedan,180000,2,Petrol,yes,2002,318
Mercedes-Benz,10999,van,263000,2.2,Diesel,yes,2005,Vito
BMW,44000,crossover,80000,3,Diesel,yes,2012,X5
Toyota,15700,sedan,108000,NA,Petrol,yes,2008,Camry
Toyota,19200,hatch,54000,1.4,Other,yes,2012,Prius
Mercedes-Benz,19600,van,127000,1.8,Diesel,yes,2013,B 180
Volkswagen,9000,sedan,135000,1.6,Gas,yes,2011,Polo
BMW,10900,sedan,245000,3,Diesel,yes,2003,530
Volkswagen,12900,van,180000,2,Diesel,yes,2012,T5 (Transporter) 
BMW,6600,sedan,285000,2.5,Petrol,yes,1999,525
Renault,15820.35,sedan,0,1.5,Diesel,yes,2016,Fluence
Toyota,10200,sedan,180000,2.4,Petrol,yes,2003,Camry
Mercedes-Benz,6000,sedan,366000,3.2,Gas,yes,1994,E-Class
Audi,3500,sedan,1000,2,Other,yes,1988,90
Volkswagen,7800,van,380000,2.5,Diesel,yes,1999,T4 (Transporter)
Toyota,35900,crossover,84000,3,Diesel,yes,2013,Land Cruiser Prado
Mercedes-Benz,NA,crossover,0,4.6,Petrol,yes,2016,GLS 500
Renault,11700,crossover,90000,1.5,Diesel,yes,2011,Duster
Volkswagen,15200,crossover,58000,2,Petrol,yes,2008,Tiguan
Mercedes-Benz,2500,sedan,111000,2.3,Gas,yes,1992,E-Class
Volkswagen,16800,other,164000,2,Diesel,yes,2010,T5 (Transporter)
BMW,50499,sedan,128000,3,Diesel,yes,2013,730
Mercedes-Benz,2650,sedan,470000,2,Gas,yes,1985,190
BMW,2250,sedan,300000,2.5,Petrol,no,1997,523
Mercedes-Benz,9300,sedan,270000,2.7,Diesel,yes,2001,E-Class
Toyota,11500,van,161000,2.5,Diesel,yes,2002,Hiace
BMW,13000,sedan,304000,4.4,Other,yes,2002,745
